cate,num,num_sec,protect_unit,province,rx_time,title,type
新增项目,Ⅰ-134,134,邹城市文化馆,山东省邹城市,2014</br>(第四批),孟母教子传说,民间文学
新增项目,Ⅰ-135,135,洛阳市文化馆（洛阳市非物质文化遗产保护中心）,河南省洛阳市,2014</br>(第四批),河图洛书传说,民间文学
新增项目,Ⅰ-136,136,杞县人民文化馆（杞县送戏下乡艺术团）,河南省杞县,2014</br>(第四批),杞人忧天传说,民间文学
新增项目,Ⅰ-137,137,湖北省群众艺术馆（湖北省非物质文化遗产保护中心）,湖北省,2014</br>(第四批),三国传说,民间文学
新增项目,Ⅰ-138,138,,湖北省武汉市,2014</br>(第四批),伯牙子期传说,民间文学
新增项目,Ⅰ-139,139,房县文化馆,湖北省房县,2014</br>(第四批),尹吉甫传说,民间文学
新增项目,Ⅰ-140,140,郴州市苏仙区文化馆,湖南省郴州市苏仙区,2014</br>(第四批),苏仙传说,民间文学
新增项目,Ⅰ-141,141,金阳县文化馆,四川省金阳县,2014</br>(第四批),毕阿史拉则传说,民间文学
新增项目,Ⅰ-142,142,洛南县文化馆,陕西省洛南县,2014</br>(第四批),仓颉传说,民间文学
新增项目,Ⅰ-142,142,白水县文化馆,陕西省白水县,2014</br>(第四批),仓颉传说,民间文学
新增项目,Ⅰ-143,143,循化撒拉族自治县文化馆,青海省循化撒拉族自治县,2014</br>(第四批),骆驼泉传说,民间文学
新增项目,Ⅰ-144,144,泾源县文化馆,宁夏回族自治区泾源县,2014</br>(第四批),回族民间故事,民间文学
新增项目,Ⅰ-145,145,阳城县文化馆,山西省阳城县,2014</br>(第四批),广禅侯故事,民间文学
新增项目,Ⅰ-146,146,吉水县文化馆,江西省吉水县,2014</br>(第四批),解缙故事,民间文学
新增项目,Ⅰ-147,147,横县文化馆（横县非物质文化遗产保护中心）,广西壮族自治区横县,2014</br>(第四批),壮族百鸟衣故事,民间文学
新增项目,Ⅰ-148,148,喀什地区文化馆,新疆维吾尔自治区喀什地区,2014</br>(第四批),阿凡提故事,民间文学
新增项目,Ⅰ-149,149,重庆市南岸区文化馆,重庆市南岸区,2014</br>(第四批),广阳镇民间故事,民间文学
新增项目,Ⅰ-150,150,新疆天池管理委员会（新疆天山天池风景名胜区管理委员会、新疆天池博格达峰自然保护区管理局）,新疆维吾尔自治区阜康市,2014</br>(第四批),西王母神话,民间文学
新增项目,Ⅰ-151,151,江华瑶族自治县文化馆,湖南省江华瑶族自治县,2014</br>(第四批),盘王大歌,民间文学
新增项目,Ⅰ-152,152,喜德县文化馆,四川省喜德县,2014</br>(第四批),玛牧,民间文学
新增项目,Ⅰ-153,153,古城区非物质文化遗产保护管理中心,云南省丽江市古城区,2014</br>(第四批),黑白战争,民间文学
新增项目,Ⅰ-154,154,互助土族自治县文化馆,青海省互助土族自治县,2014</br>(第四批),祁家延西,民间文学
新增项目,Ⅰ-155,155,常山县文化馆,浙江省常山县,2014</br>(第四批),常山喝彩歌谣,民间文学
新增项目,Ⅰ-156,156,北京市八大处公园管理处,北京市石景山区,2021</br>(第五批),八大处传说,民间文学
新增项目,Ⅰ-157,157,洛阳市偃师区人民文化馆,河南省洛阳市偃师区,2021</br>(第五批),玄奘传说,民间文学
新增项目,Ⅰ-158,158,竹山县文化馆,湖北省十堰市竹山县,2021</br>(第五批),女娲传说,民间文学
新增项目,Ⅰ-159,159,永顺县非物质文化遗产保护中心,湖南省湘西土家族苗族自治州永顺县,2021</br>(第五批),老司城传说,民间文学
新增项目,Ⅰ-160,160,南雄市文化馆,广东省韶关市南雄市,2021</br>(第五批),珠玑巷人南迁传说,民间文学
新增项目,Ⅰ-161,161,城固县文化馆,陕西省汉中市城固县,2021</br>(第五批),张骞传说,民间文学
新增项目,Ⅰ-162,162,久治县文化馆,青海省果洛藏族自治州久治县,2021</br>(第五批),藏族民间传说（年保玉则传说）,民间文学
新增项目,Ⅰ-163,163,鄂温克族自治旗文化馆,内蒙古自治区呼伦贝尔市鄂温克族自治旗,2021</br>(第五批),鄂温克族民间故事,民间文学
新增项目,Ⅰ-164,164,合肥市文化馆,安徽省合肥市,2021</br>(第五批),包公故事,民间文学
新增项目,Ⅰ-165,165,罗城仫佬族自治县文化馆,广西壮族自治区河池市罗城仫佬族自治县,2021</br>(第五批),仫佬族古歌,民间文学
新增项目,Ⅰ-166,166,松桃苗族自治县文化馆,贵州省铜仁市松桃苗族自治县,2021</br>(第五批),巴狄雄萨滚,民间文学
新增项目,Ⅰ-167,167,绿春县文化馆（绿春县非物质文化遗产保护中心）,云南省红河哈尼族彝族自治州绿春县,2021</br>(第五批),都玛简收,民间文学
新增项目,Ⅱ-1,1,左权县民歌研究中心,山西省左权县 ,2006</br>(第一批),左权开花调,传统音乐
新增项目,Ⅱ-2,2,河曲县二人台艺术研究中心,山西省河曲县 ,2006</br>(第一批),河曲民歌,传统音乐
新增项目,Ⅱ-3,3,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）,内蒙古自治区,2006</br>(第一批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,新疆巴音郭楞蒙古自治州文化馆,新疆维吾尔自治区巴音郭楞蒙古自治州,2008</br>(第二批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,和布克赛尔蒙古自治县非物质文化遗产保护中心,新疆维吾尔自治区和布克赛尔蒙古自治县,2008</br>(第二批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,新巴尔虎左旗文化馆,内蒙古自治区新巴尔虎左旗,2014</br>(第四批),蒙古族长调民歌（巴尔虎长调）,传统音乐
扩展项目,Ⅱ-3,3,西乌珠穆沁旗文化馆,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,2021</br>(第五批),蒙古族长调民歌（乌珠穆沁长调）,传统音乐
新增项目,Ⅱ-4,4,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）,内蒙古自治区,2006</br>(第一批),蒙古族呼麦,传统音乐
扩展项目,Ⅱ-4,4,阿勒泰市文化馆（阿勒泰市非物质文化遗产保护中心、阿勒泰市美术馆）,新疆维吾尔自治区阿勒泰地区,2008</br>(第二批),蒙古族呼麦,传统音乐
